model_id,provider,repo_name,canonical_model_key,family,base_hint,unaligned,is_packaged,packaging_detected,quant_detected,created_at,last_modified,license,downloads,likes
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v0.9,jeffmeloy,Qwen2.5-7B-nerd-uncensored-v0.9,qwen2-5-7b,qwen,['qwen/qwen2.5-7b'],True,,safetensors,,2024-11-02 06:02:38+00:00,2024-11-03 00:43:18+00:00,,8,1
Triangle104/Phi-3.5-mini-instruct_Uncensored-Q5_K_S-GGUF,Triangle104,Phi-3.5-mini-instruct_Uncensored-Q5_K_S-GGUF,phi-3-5-mini-instruct-uncensored,phi,sicariussicariistuff/phi-3.5-mini-instruct_uncensored,True,,gguf,q5_k_s,2024-11-11 00:56:31+00:00,2024-11-11 00:58:02+00:00,,8,
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.5,jeffmeloy,Qwen2.5-7B-nerd-uncensored-v1.5,qwen2-5-7b,qwen,['qwen/qwen2.5-7b'],True,,safetensors,,2024-11-16 19:12:23+00:00,2024-11-16 21:09:32+00:00,,8,1
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.7,jeffmeloy,Qwen2.5-7B-nerd-uncensored-v1.7,qwen2-5-7b,qwen,['qwen/qwen2.5-7b'],True,,safetensors,,2024-11-16 19:34:04+00:00,2024-11-17 23:03:18+00:00,,8,1
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.8,jeffmeloy,Qwen2.5-7B-nerd-uncensored-v1.8,qwen2-5-7b,qwen,['qwen/qwen2.5-7b'],True,,safetensors,,2024-11-16 20:43:14+00:00,2024-11-16 21:10:57+00:00,,8,4
thirdeyeai/marco-o1-uncensored,thirdeyeai,marco-o1-uncensored,marco-o1,marco,['aidc-ai/marco-o1'],True,,safetensors,,2024-11-26 02:19:41+00:00,2024-11-26 04:26:31+00:00,,8,5
Triangle104/Qwen2.5-7B-Instruct-Uncensored-Q4_K_S-GGUF,Triangle104,Qwen2.5-7B-Instruct-Uncensored-Q4_K_S-GGUF,qwen2-5-7b-instruct-uncensored,qwen,orion-zhen/qwen2.5-7b-instruct-uncensored,True,,gguf,q4_k_s,2024-12-14 21:25:27+00:00,2024-12-14 21:27:30+00:00,,8,
Triangle104/qwen2.5-.5b-uncensored-Q4_K_S-GGUF,Triangle104,qwen2.5-.5b-uncensored-Q4_K_S-GGUF,qwen2-5-5b-uncensored,qwen,thirdeyeai/qwen2.5-.5b-uncensored,True,,gguf,q4_k_s,2024-12-24 09:55:02+00:00,2024-12-24 09:55:07+00:00,,8,
Triangle104/qwen2.5-.5b-uncensored-Q8_0-GGUF,Triangle104,qwen2.5-.5b-uncensored-Q8_0-GGUF,qwen2-5-5b-uncensored,qwen,thirdeyeai/qwen2.5-.5b-uncensored,True,,gguf,q8_0,2024-12-24 10:00:44+00:00,2024-12-24 10:00:50+00:00,,8,
BlossomsAI/Qwen2.5-Coder-7B-Instruct-Uncensored,BlossomsAI,Qwen2.5-Coder-7B-Instruct-Uncensored,qwen2-5-coder-7b-instruct,qwen,['qwen/qwen2.5-coder-7b-instruct'],True,,safetensors,,2024-12-26 02:24:48+00:00,2025-02-12 16:37:34+00:00,,8,1
UKPMAN0/WizardLM-7B-Uncensored-Q4_K_M-GGUF,UKPMAN0,WizardLM-7B-Uncensored-Q4_K_M-GGUF,wizardlm-7b-uncensored,wizardlm,cognitivecomputations/wizardlm-7b-uncensored,True,,gguf,q4_k_m,2025-01-03 05:48:41+00:00,2025-01-03 05:49:02+00:00,,8,1
matrixportal/L3.2-Rogue-Creative-Instruct-Uncensored-Abliterated-7B-Q4_K_S-GGUF,matrixportal,L3.2-Rogue-Creative-Instruct-Uncensored-Abliterated-7B-Q4_K_S-GGUF,l3-2-rogue-creative-instruct-uncensored-abliterated-7b,l3.2,davidau/l3.2-rogue-creative-instruct-uncensored-abliterated-7b,True,,gguf,q4_k_s,2025-01-05 08:27:12+00:00,2025-01-05 08:27:39+00:00,,8,
toni3000/mistral-7b-uncensored-Q3_K_L-GGUF,toni3000,mistral-7b-uncensored-Q3_K_L-GGUF,mistral-7b-uncensored,mistral,luvgpt/mistral-7b-uncensored,True,,gguf,q3_k_l,2025-01-19 07:23:31+00:00,2025-01-19 07:23:48+00:00,,8,
Triangle104/Qwen2.5-0.5B-Instruct-uncensored-Q6_K-GGUF,Triangle104,Qwen2.5-0.5B-Instruct-uncensored-Q6_K-GGUF,qwen2-5-0-5b-instruct-uncensored,qwen,thirdeyeai/qwen2.5-0.5b-instruct-uncensored,True,,gguf,q6_k,2025-01-22 21:26:13+00:00,2025-01-22 21:26:19+00:00,,8,
Triangle104/Qwen2.5-0.5B-Instruct-uncensored-Q8_0-GGUF,Triangle104,Qwen2.5-0.5B-Instruct-uncensored-Q8_0-GGUF,qwen2-5-0-5b-instruct-uncensored,qwen,thirdeyeai/qwen2.5-0.5b-instruct-uncensored,True,,gguf,q8_0,2025-01-22 21:26:42+00:00,2025-01-22 21:26:48+00:00,,8,
Triangle104/DeepSeek-R1-Distill-Qwen-1.5B-uncensored-Q8_0-GGUF,Triangle104,DeepSeek-R1-Distill-Qwen-1.5B-uncensored-Q8_0-GGUF,deepseek-r1-distill-qwen-1-5b-uncensored,qwen,thirdeyeai/deepseek-r1-distill-qwen-1.5b-uncensored,True,,gguf,q8_0,2025-01-25 10:42:25+00:00,2025-01-25 10:44:01+00:00,,8,1
Triangle104/DeepSeek-R1-Distill-Qwen-7B-uncensored-Q5_K_M-GGUF,Triangle104,DeepSeek-R1-Distill-Qwen-7B-uncensored-Q5_K_M-GGUF,deepseek-r1-distill-qwen-7b-uncensored,qwen,thirdeyeai/deepseek-r1-distill-qwen-7b-uncensored,True,,gguf,q5_k_m,2025-02-03 17:45:51+00:00,2025-02-03 17:46:17+00:00,,8,
Triangle104/DeepHermes-3-Llama-3-8B-Preview-Uncensored-DeLMAT-Q4_K_S-GGUF,Triangle104,DeepHermes-3-Llama-3-8B-Preview-Uncensored-DeLMAT-Q4_K_S-GGUF,deephermes-3-llama-3-8b-preview-uncensored-delmat,llama,nkpz/deephermes-3-llama-3-8b-preview-uncensored-delmat,True,,gguf,q4_k_s,2025-02-20 13:29:42+00:00,2025-02-20 13:31:27+00:00,,8,
Novaciano/Judas-The-Uncensored-3.2-1B,Novaciano,Judas-The-Uncensored-3.2-1B,blast-processing-3-2-1b,harmfulproject,"['novaciano/blast_processing-3.2-1b', 'huihui-ai/llama-3.2-1b-instruct-abliterated', 'bunnycore/fusechat-3.2-1b-creative-rp', 'novaciano/harmfulproject-3.2-1b']",True,,safetensors,,2025-03-11 18:42:45+00:00,2025-03-26 03:38:33+00:00,,8,
Novaciano/Judas-The-Uncensored-3.2-1B-Q5_K_M-GGUF,Novaciano,Judas-The-Uncensored-3.2-1B-Q5_K_M-GGUF,judas-the-uncensored-3-2-1b,judas,novaciano/judas-the-uncensored-3.2-1b,True,,gguf,q5_k_m,2025-03-11 19:11:11+00:00,2025-03-11 19:14:39+00:00,,8,
Triangle104/Gemma-3-4b-it-Uncensored-DBL-X-Q4_K_S-GGUF,Triangle104,Gemma-3-4b-it-Uncensored-DBL-X-Q4_K_S-GGUF,gemma-3-4b-it-uncensored-dbl-x,gemma,davidau/gemma-3-4b-it-uncensored-dbl-x,True,,gguf,q4_k_s,2025-03-25 08:39:13+00:00,2025-03-25 08:39:26+00:00,,8,
ysn-rfd/WizardLM-7B-Uncensored-Q4_K_M-GGUF,ysn-rfd,WizardLM-7B-Uncensored-Q4_K_M-GGUF,wizardlm-7b-uncensored,wizardlm,cognitivecomputations/wizardlm-7b-uncensored,True,,gguf,q4_k_m,2025-04-03 16:36:05+00:00,2025-04-03 16:36:22+00:00,,8,
cs2764/QwQ-32B-uncensored-Q4_K_M-GGUF,cs2764,QwQ-32B-uncensored-Q4_K_M-GGUF,qwq-32b-uncensored,qwq,thirdeyeai/qwq-32b-uncensored,True,,gguf,q4_k_m,2025-04-16 17:57:23+00:00,2025-04-16 17:58:56+00:00,,8,
Merlinoz11/DavidAU_Qwen2.5-QwQ-37B-Eureka-Triple-Cubed-abliterated-uncensored-H-novel-v2-Q4_K_M-GGUF,Merlinoz11,DavidAU_Qwen2.5-QwQ-37B-Eureka-Triple-Cubed-abliterated-uncensored-H-novel-v2-Q4_K_M-GGUF,davidau-qwen2-5-qwq-37b-eureka-triple-cubed-abliterated-uncensored-h-novel-v2,qwen,cs2764/davidau_qwen2.5-qwq-37b-eureka-triple-cubed-abliterated-uncensored-h-novel-v2,True,,gguf,q4_k_m,2025-04-18 18:50:09+00:00,2025-04-18 18:52:03+00:00,,8,1
Triangle104/Llama-3.1-DeepHermes-R1-Reasoning-8B-DarkIdol-Instruct-1.2-Uncensored-Q6_K-GGUF,Triangle104,Llama-3.1-DeepHermes-R1-Reasoning-8B-DarkIdol-Instruct-1.2-Uncensored-Q6_K-GGUF,llama-3-1-deephermes-r1-reasoning-8b-darkidol-instruct-1-2-uncensored,llama,davidau/llama-3.1-deephermes-r1-reasoning-8b-darkidol-instruct-1.2-uncensored,True,,gguf,q6_k,2025-04-25 15:52:15+00:00,2025-04-25 15:53:54+00:00,,8,
vpakarinen/llama-8b-lora-uncensored-thinking,vpakarinen,llama-8b-lora-uncensored-thinking,meta-llama-3-1-8b-instruct,llama,unsloth/meta-llama-3.1-8b-instruct,True,,safetensors,4-bit,2025-07-03 10:17:47+00:00,2025-07-03 10:37:14+00:00,,8,
lefantom00/Llama-3.1-8B-Lexi-Uncensored-V2-iSMART,lefantom00,Llama-3.1-8B-Lexi-Uncensored-V2-iSMART,llama-3-1-8b-lexi-uncensored-v2,llama,orenguteng/llama-3.1-8b-lexi-uncensored-v2,True,,safetensors,,2025-07-04 08:31:27+00:00,2025-07-04 09:51:11+00:00,,8,
TheBloke/Guanaco-7B-Uncensored-GPTQ,TheBloke,Guanaco-7B-Uncensored-GPTQ,guanaco-7b-uncensored,guanaco,fredithefish/guanaco-7b-uncensored,True,,safetensors,"4-bit,gptq",2023-09-08 08:07:38+00:00,2023-09-27 12:48:28+00:00,,7,4
TheBloke/Guanaco-3B-Uncensored-v2-GGML,TheBloke,Guanaco-3B-Uncensored-v2-GGML,guanaco-3b-uncensored-v2,guanaco,fredithefish/guanaco-3b-uncensored-v2,True,,bin,"q4_0,q4_1,q5_0,q5_1,q8_0",2023-09-09 11:54:16+00:00,2023-09-27 13:02:43+00:00,,7,11
jeiku/SOLAR_Uncensored_Luna_10.7B,jeiku,SOLAR_Uncensored_Luna_10.7B,luna-lora-solar,luna,"['w4r10ck/solar-10.7b-instruct-v1.0-uncensored', 'jeiku/luna_lora_solar']",True,,safetensors,,2024-02-18 07:17:22+00:00,2024-02-18 07:34:57+00:00,,7,
lucyknada/ResplendentAI_Aura_Uncensored_l3_8B-6.0bpw-EXL2,lucyknada,ResplendentAI_Aura_Uncensored_l3_8B-6.0bpw-EXL2,aura-llama3,llama,"['undi95/llama-3-unholy-8b', 'undi95/llama-3-unholy-8b', 'resplendentai/aura_llama3', 'undi95/llama-3-unholy-8b', 'resplendentai/rp_format_quoteasterisk_llama3', 'undi95/llama-3-unholy-8b', 'resplendentai/luna_llama3', 'undi95/llama-3-unholy-8b', 'resplendentai/theory_of_mind_llama3', 'undi95/llama-3-unholy-8b', 'resplendentai/bluemoon_llama3']",True,,safetensors,exl2,2024-04-21 05:57:40+00:00,2024-04-21 06:30:12+00:00,,7,2
solidrust/Uncensored-Frank-Llama-3-8B-AWQ,solidrust,Uncensored-Frank-Llama-3-8B-AWQ,uncensored-frank-llama-3-8b,llama,ajibawa-2023/uncensored-frank-llama-3-8b,True,,safetensors,"4-bit,awq",2024-05-05 08:23:56+00:00,2024-09-03 08:12:30+00:00,,7,
PrunaAI/georgesung-llama2_7b_chat_uncensored-HQQ-1bit-smashed,PrunaAI,georgesung-llama2_7b_chat_uncensored-HQQ-1bit-smashed,georgesung-llama2-7b-chat-uncensored-hqq-1bit-smashed,llama,prunaai/georgesung-llama2_7b_chat_uncensored-hqq-1bit-smashed,True,,pt,,2024-06-17 20:50:50+00:00,2024-08-02 16:02:25+00:00,,7,
PrunaAI/w4r10ck-SOLAR-10.7B-Instruct-v1.0-uncensored-bnb-8bit-smashed,PrunaAI,w4r10ck-SOLAR-10.7B-Instruct-v1.0-uncensored-bnb-8bit-smashed,solar-10-7b-instruct-v1-0-uncensored,solar,w4r10ck/solar-10.7b-instruct-v1.0-uncensored,True,,safetensors,"8-bit,8bit",2024-07-16 01:10:50+00:00,2024-07-16 01:16:12+00:00,,7,
PrunaAI/Orenguteng-Llama-3-8B-LexiFun-Uncensored-V1-HQQ-1bit-smashed,PrunaAI,Orenguteng-Llama-3-8B-LexiFun-Uncensored-V1-HQQ-1bit-smashed,llama-3-8b-lexifun-uncensored-v1,llama,orenguteng/llama-3-8b-lexifun-uncensored-v1,True,,pt,,2024-07-16 02:17:38+00:00,2024-07-16 02:19:07+00:00,,7,
Triangle104/Phi-3.5-mini-instruct_Uncensored-Q4_K_M-GGUF,Triangle104,Phi-3.5-mini-instruct_Uncensored-Q4_K_M-GGUF,phi-3-5-mini-instruct-uncensored,phi,sicariussicariistuff/phi-3.5-mini-instruct_uncensored,True,,gguf,q4_k_m,2024-09-21 13:51:16+00:00,2024-09-21 13:51:33+00:00,,7,
SzilviaB/Guanaco-Frank-Jordan-13B-uncensored,SzilviaB,Guanaco-Frank-Jordan-13B-uncensored,guanaco-13b-uncensored,uncensored,"['ajibawa-2023/uncensored-jordan-13b', 'fredithefish/guanaco-13b-uncensored', 'ajibawa-2023/uncensored-frank-13b']",True,,safetensors,,2024-09-30 23:27:01+00:00,2024-09-30 23:34:51+00:00,,7,1
thidayatpiliang/Llama-3.2-3B-Instruct-uncensored-Q8_0-GGUF,thidayatpiliang,Llama-3.2-3B-Instruct-uncensored-Q8_0-GGUF,llama-3-2-3b-instruct-uncensored,llama,chuanli11/llama-3.2-3b-instruct-uncensored,True,,gguf,q8_0,2024-10-09 10:55:59+00:00,2024-10-09 10:56:17+00:00,,7,1
Triangle104/Llama-3.1-8B-Lexi-Uncensored-V2-Q5_K_S-GGUF,Triangle104,Llama-3.1-8B-Lexi-Uncensored-V2-Q5_K_S-GGUF,llama-3-1-8b-lexi-uncensored-v2,llama,orenguteng/llama-3.1-8b-lexi-uncensored-v2,True,,gguf,q5_k_s,2024-10-16 18:24:56+00:00,2024-10-16 18:27:16+00:00,,7,
fxh0x00/Llama-3.2-3B-Instruct-uncensored-Q8_0-GGUF,fxh0x00,Llama-3.2-3B-Instruct-uncensored-Q8_0-GGUF,llama-3-2-3b-instruct-uncensored,llama,chuanli11/llama-3.2-3b-instruct-uncensored,True,,gguf,"imatrix,q8_0",2024-11-15 01:48:39+00:00,2024-11-15 01:49:01+00:00,,7,
jeffmeloy/Qwen2.5-7B-nerd-uncensored-v1.6,jeffmeloy,Qwen2.5-7B-nerd-uncensored-v1.6,qwen2-5-7b,qwen,['qwen/qwen2.5-7b'],True,,safetensors,,2024-11-16 19:23:34+00:00,2024-11-16 21:09:45+00:00,,7,1
SzilviaB/DarkAuraUnholy-Uncensored-OAS-8b-Q8_0-GGUF,SzilviaB,DarkAuraUnholy-Uncensored-OAS-8b-Q8_0-GGUF,darkauraunholy-uncensored-oas-8b,darkauraunholy,szilviab/darkauraunholy-uncensored-oas-8b,True,,gguf,q8_0,2024-11-21 14:13:57+00:00,2024-11-21 14:14:34+00:00,,7,
DavidAU/L3-Dark_Mistress-The_Guilty_Pen-Uncensored-17.4B,DavidAU,L3-Dark_Mistress-The_Guilty_Pen-Uncensored-17.4B,,[],[],True,,safetensors,,2024-11-26 03:20:36+00:00,2025-05-28 02:26:33+00:00,,7,2
BlossomsAI/SeaLLMs-v3-7B-Chat-Uncensored,BlossomsAI,SeaLLMs-v3-7B-Chat-Uncensored,seallms-v3-7b-chat,seallms,['seallms/seallms-v3-7b-chat'],True,,safetensors,,2024-12-03 16:21:37+00:00,2025-02-12 16:35:11+00:00,,7,1
Triangle104/Qwen2.5-7B-Instruct-Uncensored-Q4_K_M-GGUF,Triangle104,Qwen2.5-7B-Instruct-Uncensored-Q4_K_M-GGUF,qwen2-5-7b-instruct-uncensored,qwen,orion-zhen/qwen2.5-7b-instruct-uncensored,True,,gguf,q4_k_m,2024-12-14 21:28:28+00:00,2024-12-14 21:29:33+00:00,,7,
Triangle104/qwen2.5-.5b-uncensored-Q5_K_S-GGUF,Triangle104,qwen2.5-.5b-uncensored-Q5_K_S-GGUF,qwen2-5-5b-uncensored,qwen,thirdeyeai/qwen2.5-.5b-uncensored,True,,gguf,q5_k_s,2024-12-24 09:58:02+00:00,2024-12-24 09:58:06+00:00,,7,
Triangle104/marco-o1-uncensored-Q8_0-GGUF,Triangle104,marco-o1-uncensored-Q8_0-GGUF,marco-o1-uncensored,marco,thirdeyeai/marco-o1-uncensored,True,,gguf,q8_0,2024-12-26 13:38:49+00:00,2024-12-26 13:39:23+00:00,,7,
Triangle104/Qwen2.5-0.5B-Instruct-uncensored-Q5_K_S-GGUF,Triangle104,Qwen2.5-0.5B-Instruct-uncensored-Q5_K_S-GGUF,qwen2-5-0-5b-instruct-uncensored,qwen,thirdeyeai/qwen2.5-0.5b-instruct-uncensored,True,,gguf,q5_k_s,2025-01-22 21:25:13+00:00,2025-01-22 21:25:18+00:00,,7,
Triangle104/DeepSeek-R1-Distill-Qwen-14B-uncensored-Q5_K_M-GGUF,Triangle104,DeepSeek-R1-Distill-Qwen-14B-uncensored-Q5_K_M-GGUF,deepseek-r1-distill-qwen-14b-uncensored,qwen,thirdeyeai/deepseek-r1-distill-qwen-14b-uncensored,True,,gguf,q5_k_m,2025-01-29 11:31:34+00:00,2025-01-29 11:32:24+00:00,,7,
BlossomsAI/Qwen2.5-Coder-14B-Instruct-Uncensored,BlossomsAI,Qwen2.5-Coder-14B-Instruct-Uncensored,qwen2-5-coder-14b-instruct,qwen,['qwen/qwen2.5-coder-14b-instruct'],True,,safetensors,,2025-01-30 14:25:19+00:00,2025-02-12 16:30:31+00:00,,7,3
DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,DavidAU,Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,deepseek-r1-distill-qwen-1-5b,qwen,"['thirdeyeai/deepseek-r1-distill-qwen-1.5b-uncensored', 'deepseek-ai/deepseek-r1-distill-qwen-1.5b']",True,,safetensors,,2025-03-06 01:25:46+00:00,2025-03-06 02:16:26+00:00,,7,
DavidAU/Qwen2.5-QwQ-35B-Eureka-Cubed-abliterated-uncensored,DavidAU,Qwen2.5-QwQ-35B-Eureka-Cubed-abliterated-uncensored,deepseek-r1-distill-qwen-32b-abliterated,tinyr1,"['huihui-ai/qwq-32b-abliterated', 'huihui-ai/deepseek-r1-distill-qwen-32b-abliterated', 'huihui-ai/tinyr1-32b-preview-abliterated']",True,,safetensors,,2025-03-08 07:01:49+00:00,2025-03-12 00:47:26+00:00,,7,15
Novaciano/Judas-The-Uncensored-3.2-1B-Q8_0-GGUF,Novaciano,Judas-The-Uncensored-3.2-1B-Q8_0-GGUF,judas-the-uncensored-3-2-1b,judas,novaciano/judas-the-uncensored-3.2-1b,True,,gguf,q8_0,2025-03-11 19:12:50+00:00,2025-03-11 19:13:41+00:00,,7,
DavidAU/L3.1-MOE-4X8B-Dark-Reasoning-Dark-Planet-Hermes-R1-Uncensored-e32-25B,DavidAU,L3.1-MOE-4X8B-Dark-Reasoning-Dark-Planet-Hermes-R1-Uncensored-e32-25B,l3-dark-planet-8b,jamet,"['nousresearch/deephermes-3-llama-3-8b-preview', 'davidau/l3-dark-planet-8b', 'sao10k/l3-8b-stheno-v3.2', 'neversleep/llama-3-lumimaid-8b-v0.1-oas', 'hastagaras/jamet-8b-l3-mk.v-blackroot']",True,,safetensors,,2025-04-02 01:58:54+00:00,2025-05-28 02:34:52+00:00,,7,
DavidAU/L3.1-Dark-Reasoning-Halu-Blackroot-Hermes-R1-Uncensored-8B,DavidAU,L3.1-Dark-Reasoning-Halu-Blackroot-Hermes-R1-Uncensored-8B,halu-8b-llama3-blackroot,llama,"['nousresearch/deephermes-3-llama-3-8b-preview', 'hastagaras/halu-8b-llama3-blackroot']",True,,safetensors,,2025-04-03 01:03:05+00:00,2025-05-28 02:35:54+00:00,,7,1
DavidAU/L3.1-Dark-Reasoning-Anjir-Hermes-R1-Uncensored-8B,DavidAU,L3.1-Dark-Reasoning-Anjir-Hermes-R1-Uncensored-8B,anjir-8b-l3,anjir,"['nousresearch/deephermes-3-llama-3-8b-preview', 'hastagaras/anjir-8b-l3']",True,,safetensors,,2025-04-03 02:00:15+00:00,2025-05-28 02:36:05+00:00,,7,2
Triangle104/L3.1-Evil-Reasoning-Dark-Planet-Hermes-R1-Uncensored-8B-Q6_K-GGUF,Triangle104,L3.1-Evil-Reasoning-Dark-Planet-Hermes-R1-Uncensored-8B-Q6_K-GGUF,l3-1-evil-reasoning-dark-planet-hermes-r1-uncensored-8b,l3.1,davidau/l3.1-evil-reasoning-dark-planet-hermes-r1-uncensored-8b,True,,gguf,q6_k,2025-04-06 05:14:29+00:00,2025-04-06 05:16:24+00:00,,7,
DavidAU/LLama-3.1-128k-Darkest-Planet-Uncensored-16.5B,DavidAU,LLama-3.1-128k-Darkest-Planet-Uncensored-16.5B,jamet-8b-l3-mk-v-blackroot,llama,"['sao10k/l3-8b-stheno-v3.2', 'neversleep/llama-3-lumimaid-8b-v0.1-oas', 'hastagaras/jamet-8b-l3-mk.v-blackroot', 'aifeifei798/darkidol-llama-3.1-8b-instruct-1.2-uncensored']",True,,safetensors,,2025-04-18 13:10:59+00:00,2025-05-28 02:43:35+00:00,,7,
DavidAU/LLama-3.1-128k-Uncensored-Stheno-Maid-Blackroot-Grand-HORROR-16.5B,DavidAU,LLama-3.1-128k-Uncensored-Stheno-Maid-Blackroot-Grand-HORROR-16.5B,jamet-8b-l3-mk-v-blackroot,llama,"['sao10k/l3-8b-stheno-v3.2', 'neversleep/llama-3-lumimaid-8b-v0.1-oas', 'hastagaras/jamet-8b-l3-mk.v-blackroot', 'aifeifei798/darkidol-llama-3.1-8b-instruct-1.2-uncensored']",True,,safetensors,,2025-04-19 00:00:15+00:00,2025-05-28 02:43:13+00:00,,7,
Triangle104/L3.1-Dark-Reasoning-LewdPlay-evo-Hermes-R1-Uncensored-8B-Q5_K_M-GGUF,Triangle104,L3.1-Dark-Reasoning-LewdPlay-evo-Hermes-R1-Uncensored-8B-Q5_K_M-GGUF,l3-1-dark-reasoning-lewdplay-evo-hermes-r1-uncensored-8b,l3.1,davidau/l3.1-dark-reasoning-lewdplay-evo-hermes-r1-uncensored-8b,True,,gguf,q5_k_m,2025-05-05 09:33:34+00:00,2025-05-05 09:44:14+00:00,,7,
Triangle104/L3.1-MOE-4X8B-Dark-Reasoning-Super-Nova-RP-Hermes-R1-Uncensored-25B-Q3_K_M-GGUF,Triangle104,L3.1-MOE-4X8B-Dark-Reasoning-Super-Nova-RP-Hermes-R1-Uncensored-25B-Q3_K_M-GGUF,l3-1-moe-4x8b-dark-reasoning-super-nova-rp-hermes-r1-uncensored-25b,l3.1,davidau/l3.1-moe-4x8b-dark-reasoning-super-nova-rp-hermes-r1-uncensored-25b,True,,gguf,q3_k_m,2025-05-24 23:54:23+00:00,2025-05-24 23:58:07+00:00,,7,
Triangle104/L3.1-Dark-Reasoning-Dark-Planet-Hermes-R1-Uncensored-8B-Q6_K-GGUF,Triangle104,L3.1-Dark-Reasoning-Dark-Planet-Hermes-R1-Uncensored-8B-Q6_K-GGUF,l3-1-dark-reasoning-dark-planet-hermes-r1-uncensored-8b,l3.1,davidau/l3.1-dark-reasoning-dark-planet-hermes-r1-uncensored-8b,True,,gguf,q6_k,2025-05-30 04:47:14+00:00,2025-05-30 04:51:31+00:00,,7,
Triangle104/L3.1-Dark-Reasoning-Unholy-Hermes-R1-Uncensored-8B-Q5_K_M-GGUF,Triangle104,L3.1-Dark-Reasoning-Unholy-Hermes-R1-Uncensored-8B-Q5_K_M-GGUF,l3-1-dark-reasoning-unholy-hermes-r1-uncensored-8b,l3.1,davidau/l3.1-dark-reasoning-unholy-hermes-r1-uncensored-8b,True,,gguf,q5_k_m,2025-06-04 13:47:34+00:00,2025-06-04 13:48:40+00:00,,7,
Triangle104/Qwen3-8B-64k-Context-2X-Josiefied-Uncensored-Q5_K_M-GGUF,Triangle104,Qwen3-8B-64k-Context-2X-Josiefied-Uncensored-Q5_K_M-GGUF,qwen3-8b-64k-context-2x-josiefied-uncensored,qwen,davidau/qwen3-8b-64k-context-2x-josiefied-uncensored,True,,gguf,q5_k_m,2025-06-05 02:56:05+00:00,2025-06-05 02:58:06+00:00,,7,
TheBloke/Uncensored-Frank-7B-AWQ,TheBloke,Uncensored-Frank-7B-AWQ,uncensored-frank-7b,uncensored,ajibawa-2023/uncensored-frank-7b,True,,safetensors,"4-bit,awq",2023-09-19 23:06:46+00:00,2023-11-09 18:18:52+00:00,,6,3
TheBloke/Uncensored-Jordan-33B-AWQ,TheBloke,Uncensored-Jordan-33B-AWQ,uncensored-jordan-33b,uncensored,ajibawa-2023/uncensored-jordan-33b,True,,safetensors,"4-bit,awq",2023-10-30 20:45:13+00:00,2023-11-09 18:16:21+00:00,,6,2
athirdpath/Orca-2-13b-Alpaca-Uncensored-LORA,athirdpath,Orca-2-13b-Alpaca-Uncensored-LORA,orca-2-13b,orca,microsoft/orca-2-13b,True,,bin,4-bit,2023-11-27 11:22:29+00:00,2023-11-27 11:40:35+00:00,,6,2
lucyknada/ResplendentAI_Aura_Uncensored_l3_8B-4.0bpw-EXL2,lucyknada,ResplendentAI_Aura_Uncensored_l3_8B-4.0bpw-EXL2,aura-llama3,llama,"['undi95/llama-3-unholy-8b', 'undi95/llama-3-unholy-8b', 'resplendentai/aura_llama3', 'undi95/llama-3-unholy-8b', 'resplendentai/rp_format_quoteasterisk_llama3', 'undi95/llama-3-unholy-8b', 'resplendentai/luna_llama3', 'undi95/llama-3-unholy-8b', 'resplendentai/theory_of_mind_llama3', 'undi95/llama-3-unholy-8b', 'resplendentai/bluemoon_llama3']",True,,safetensors,"4-bit,exl2",2024-04-21 04:34:22+00:00,2024-04-21 06:30:30+00:00,,6,
solidrust/Aura_Uncensored_l3_8B-AWQ,solidrust,Aura_Uncensored_l3_8B-AWQ,aura-uncensored-l3-8b,aura,resplendentai/aura_uncensored_l3_8b,True,,safetensors,"4-bit,awq",2024-04-23 15:05:12+00:00,2024-09-03 08:10:56+00:00,,6,
solidrust/Aura-Uncensored-OAS-8B-L3-AWQ,solidrust,Aura-Uncensored-OAS-8B-L3-AWQ,aura-uncensored-oas-8b-l3,aura,saishf/aura-uncensored-oas-8b-l3,True,,safetensors,"4-bit,awq",2024-05-22 15:42:02+00:00,2024-09-03 08:50:22+00:00,,6,
Ozaii/OmniWali-Uncensored-Model,Ozaii,OmniWali-Uncensored-Model,dolphin-2-9-llama3-8b,llama,cognitivecomputations/dolphin-2.9-llama3-8b,True,,safetensors,,2024-06-20 01:52:34+00:00,2024-06-20 01:52:54+00:00,,6,
PrunaAI/hooking-dev-Monah-8b-Uncensored-bnb-4bit-smashed,PrunaAI,hooking-dev-Monah-8b-Uncensored-bnb-4bit-smashed,monah-8b-uncensored,monah,hooking-dev/monah-8b-uncensored,True,,safetensors,"4-bit,4bit",2024-06-20 15:01:22+00:00,2024-08-02 16:08:02+00:00,,6,
PrunaAI/hooking-dev-Monah-8b-Uncensored-HQQ-4bit-smashed,PrunaAI,hooking-dev-Monah-8b-Uncensored-HQQ-4bit-smashed,monah-8b-uncensored,monah,hooking-dev/monah-8b-uncensored,True,,pt,4bit,2024-06-24 10:05:29+00:00,2024-08-02 16:15:23+00:00,,6,
