canonical_model_key,packaging,repos,downloads
flux-1-dev,safetensors,2,16
forgotten-abomination-70b-v5,safetensors,1,5
forgotten-safeword-24b-v3,safetensors,1,1
foundation-sec-8b,safetensors,1,45
foundation-sec-8b-abliterated,gguf,2,67
fred,none,1,0
free-best-roleplay-ai-chat-bots,none,1,0
freedelahoya,none,1,0
freedom,none,5,0
freedom-bluemoon-merged-rp,none,1,0
freedom-coaching,none,1,0
freedom-vs-safety-notebook,none,1,0
freedomintelligence-acegpt-13b-chat-k-s,gguf,1,15
freedomintelligence-acegpt-7b-chat-k-s,gguf,1,0
freedomintelligence-acegpt-7b-k-s,gguf,1,25
freedomintelligence-acegpt-7b-smashed,pt,1,0
freedomintelligence-acegpt-v2-70b,gguf,1,0
freedomintelligence-acegpt-v2-70b-chat,gguf,1,0
freedomintelligence-apollo-0-5b,none,1,0
freedomplug-lora,none,1,0
freedomredmond-v1,safetensors,1,0
freedrag,none,1,0
fusechat-3-2-1b-creative-rp,safetensors,1,3
fuseo1-deepseekr1-qwq-skyt1-32b-preview,safetensors,1,5
fusetrix-dolphin-3-2-1b-grpo-creative-rp,gguf,1,1455
g3-12b-it-unalign,gguf,2,2
gemma-2-27b-it,pt,1,2227
gemma-2-27b-it-abliterated,bin,3,279
gemma-2-27b-it-abliterated,gguf,10,1152
gemma-2-27b-it-abliterated,none,1,6
gemma-2-27b-it-abliterated-xs,gguf,1,115
gemma-2-2b,pt,1,49
gemma-2-2b-adaptor-jailbreak,gguf,1,0
gemma-2-2b-it,gguf,1,1669
gemma-2-2b-it-abliterated,gguf,15,2428
gemma-2-2b-it-abliterated,pt,7,22
gemma-2-2b-it-abliterated,safetensors,3,16
gemma-2-2b-it-abliterated-k,gguf,1,17
gemma-2-2b-it-abliterated-k-l,gguf,1,36
gemma-2-2b-it-abliterated-xs,gguf,1,49
gemma-2-2b-it-unaligned,gguf,1,166
gemma-2-2b-jpn-it,gguf,1,3
gemma-2-2b-jpn-it,safetensors,8,61
gemma-2-2b-jpn-it-abliterated-17,gguf,2,304
gemma-2-2b-jpn-it-abliterated-17-orpo,gguf,2,221
gemma-2-2b-jpn-it-abliterated-17-orpo-alpaca,gguf,1,2
gemma-2-2b-jpn-it-abliterated-17-orpo-nl,gguf,1,21
gemma-2-2b-jpn-it-abliterated-18,gguf,2,3814
gemma-2-2b-jpn-it-abliterated-18-nl,gguf,1,20
gemma-2-2b-jpn-it-abliterated-18-orpo,gguf,2,268
gemma-2-2b-jpn-it-abliterated-18-orpo-xs,gguf,1,34
gemma-2-2b-jpn-it-abliterated-24,gguf,2,353
gemma-2-2b-orpo-jpn-it-abliterated-18,gguf,2,390
gemma-2-2b-orpo-jpn-it-abliterated-18-merge,gguf,2,595
gemma-2-9b,pt,1,19
gemma-2-9b-bnb,gguf,1,85
gemma-2-9b-chinese-chat,gguf,2,2219
gemma-2-9b-chinese-chat,safetensors,1,232
gemma-2-9b-it,safetensors,3,469
gemma-2-9b-it-abliterated,gguf,11,2856
gemma-2-9b-it-abliterated,pt,6,27
gemma-2-9b-it-abliterated,safetensors,11,1878
gemma-2-9b-it-abliterated-k-l,gguf,1,34
gemma-2-9b-it-abliterated-untied,pt,1,0
gemma-2-9b-it-abliterated-untied,safetensors,1,2
gemma-2-9b-it-abliterated-xs,gguf,1,57
gemma-2-9b-it-uncensored-delmat,gguf,2,296
gemma-2-9b-it-with-deeper-safety-alignment-xs,gguf,1,26
gemma-2-9b-uncensored,gguf,2,565
gemma-2-abliterated-ifable-9b,gguf,3,201
gemma-2-abliterated-ifable-9b-untied,gguf,3,541
gemma-2-ataraxy-9b-abliterated,safetensors,1,5
gemma-2-ifable-9b,safetensors,1,3
gemma-2-ifable-9b-abliteration-improved,safetensors,1,1
gemma-2-ifable-9b-uncensored-delmat,gguf,2,739
gemma-2-ifable-9b-untied,safetensors,1,36
gemma-2-ifable-abliterated-9b-untied,gguf,4,248
gemma-2-jailbreak,gguf,1,127
gemma-2b,bin,2,4
gemma-2b-bnb,pt,1,2
gemma-2b-it,bin,3,1519
gemma-3-12b-it,bin,1,5
gemma-3-12b-it,gguf,3,3727
gemma-3-12b-it,none,1,4
gemma-3-12b-it,safetensors,4,4352
gemma-3-12b-it-abliterated,gguf,23,6980
gemma-3-12b-it-abliterated,pt,1,11
gemma-3-12b-it-abliterated,safetensors,1,67
gemma-3-12b-it-abliterated-but-attn-k-is,gguf,1,20
gemma-3-12b-it-abliterated-v2,gguf,11,29509
gemma-3-12b-it-abliterated-v2,pt,1,0
gemma-3-12b-it-abliterated-v2,safetensors,4,979
gemma-3-12b-it-qat-0-unquantized,gguf,1,425
gemma-3-12b-it-qat-0-unquantized,safetensors,1,16
gemma-3-12b-it-qat-abliterated,gguf,3,1302
gemma-3-12b-it-uncensored,gguf,2,3786
gemma-3-12b-it-unsloth-bnb,pt,1,0
gemma-3-1b,bin,4,0
gemma-3-1b-abliterated,gguf,2,71
gemma-3-1b-it,safetensors,4,1966
gemma-3-1b-it-abliterated,bin,1,0
gemma-3-1b-it-abliterated,gguf,18,6588
gemma-3-1b-it-abliterated,safetensors,10,1485
gemma-3-1b-it-abliterated-grpo,gguf,2,144
gemma-3-1b-it-abliterated-k,gguf,1,53
gemma-3-1b-it-abliterated-v2,gguf,2,156
gemma-3-1b-it-qat-0-unquantized,gguf,1,370
gemma-3-1b-it-qat-0-unquantized,safetensors,1,41
gemma-3-1b-it-qat-abliterated,gguf,3,190
gemma-3-270m,bin,1,3502
gemma-3-270m-it,bin,1,113
gemma-3-270m-it,safetensors,1,299
gemma-3-27b-it,gguf,2,22933
gemma-3-27b-it,none,1,7
gemma-3-27b-it,safetensors,6,10456
gemma-3-27b-it-abliterated,bin,2,3
gemma-3-27b-it-abliterated,gguf,28,12463
gemma-3-27b-it-abliterated,none,1,3
gemma-3-27b-it-abliterated,safetensors,10,799
gemma-3-27b-it-abliterated-k-xl,gguf,1,214
gemma-3-27b-it-abliterated-v2,gguf,3,2345
gemma-3-27b-it-abliterated-v2,safetensors,1,314
gemma-3-27b-it-qat-0-unquantized,gguf,1,751
gemma-3-27b-it-qat-0-unquantized,safetensors,1,108
gemma-3-27b-it-qat-abliterated,gguf,2,1381
gemma-3-27b-it-uncensored,gguf,3,1910
gemma-3-27b-it-uncensored,none,1,5
gemma-3-4b-abliterated,gguf,1,164
gemma-3-4b-it,gguf,2,3148
gemma-3-4b-it,none,1,3
gemma-3-4b-it,safetensors,6,7144
gemma-3-4b-it-abliterated,gguf,22,6744
gemma-3-4b-it-abliterated,safetensors,8,527
gemma-3-4b-it-abliterated-k,gguf,1,120
gemma-3-4b-it-abliterated-v1,gguf,1,9
gemma-3-4b-it-abliterated-v2,gguf,5,2506
gemma-3-4b-it-qat-0-unquantized,gguf,1,157
gemma-3-4b-it-qat-0-unquantized,safetensors,2,75
gemma-3-4b-it-qat-abliterated,gguf,2,518
gemma-3-4b-it-qat-quantized-inference-unrestricted-weights-only-sf,gguf,1,71
gemma-3-4b-it-qat-unsloth-bnb,bin,1,6
gemma-3-4b-it-uncensored,gguf,2,729
gemma-3-4b-it-uncensored-dbl-x,gguf,12,14171
gemma-3-4b-it-uncensored-v2,gguf,2,563
gemma-3-4b-novision,safetensors,1,6
gemma-3-4b-persian-v0-abliterated,gguf,2,1327
gemma-3-glitter-4b-uncensored,gguf,2,668
gemma-3n-e2b-it,pt,1,55
gemma-3n-e4b-it,pt,1,152
gemma-7b-it,pt,2,13
gemma-bloom-2-9b-it,safetensors,1,3
gemma-bloom-2-9b-it-uncensored-delmat,gguf,2,310
gemma-roleplay,gguf,2,248
gemma-the-writer-n-restless-quill-10b-d-au,gguf,1,5
gemma-the-writer-n-restless-quill-10b-d-au-xs,gguf,1,5
gemma-the-writer-n-restless-quill-10b-uncensored,gguf,3,16282
gemma-the-writer-n-restless-quill-v2-enhanced32-10b-uncensored,gguf,3,1865
gemma2-2b-spanish-roleplay,gguf,1,50
gemma2-2b-spanish-roleplay-k-m,gguf,1,1063
gemma2-2b-spanish-roleplay-xs,gguf,1,8
gemma2-ifable-abliterated-merge,gguf,3,234
gemma2-magnum-abliterated-27b,gguf,5,234
gemma3-1b-it-abliterated-v2,gguf,1,381
gemma3-27b-abliterated-dpo,gguf,2,2849
gemma3-27b-abliterated-dpo,safetensors,7,32
gemma3-4b-it-abliterated,gguf,2,2479
genshin-impact-aya-plot-chat-roleplay,gguf,1,1
genshin-impact-mistral-v3-plot-chat-roleplay-chat-merged,gguf,1,197
georgesung-llama2-7b-chat-uncensored-bnb-smashed,safetensors,1,5
georgesung-llama2-7b-chat-uncensored-hqq-1bit-smashed,pt,1,7
georgesung-llama2-7b-chat-uncensored-hqq-smashed,pt,1,9
georgesung-llama2-7b-chat-uncensored-quanto-int8bit-smashed,none,1,2
georgesung-open-llama-7b-qlora-uncensored-k-l,gguf,1,95
ggml-ehartford-wizardlm-uncensored-falcon-40b-k-l,gguf,1,562
ggml-ehartford-wizardlm-uncensored-falcon-7b,gguf,1,355
ggml-llama-3-8b-instruct-bluemoon-freedom-rp,gguf,1,4
ggml-llama-3-8b-instruct-bluemoon-freedom-rp-k-m,gguf,1,7
ggml-model-f16,gguf,1,29
gigachat-20b-a3b-instruct-v1-5-abliterated,gguf,2,1436
glm-4-1v-9b-thinking,safetensors,1,163
glm-4-32b-0414,safetensors,1,4
glm-4-32b-0414-abliterated,gguf,10,5413
glm-4-5-air,gguf,2,5274
glm-4-5v,safetensors,1,94
glm-4-9b-0414,safetensors,1,3
glm-4-9b-0414-abliterated,gguf,13,1032
glm-4-9b-0414-abliterated,none,1,0
glm-4-9b-chat,gguf,1,143
glm-4-9b-chat,pt,1,14
glm-4-9b-chat-abliterated,gguf,5,1563
glm-4-9b-chat-abliterated-xs,gguf,1,52
glm-z1-32b-0414-abliterated,gguf,2,755
glm-z1-9b-0414,gguf,1,113
glm-z1-9b-0414,safetensors,1,2
glm-z1-9b-0414-abliterated,gguf,10,133
glm-z1-9b-0414-abliterated,safetensors,2,94
global-step-120-extra-state-world-size-32-rank-10,pt,1,0
global-step-140-model-00001-of-00012,safetensors,1,0
global-step-160-extra-state-world-size-24-rank-10,pt,1,0
global-step-160-model-00001-of-00012,safetensors,1,0
global-step-200-model-00001-of-00007,safetensors,1,0
global-step-200-model-00001-of-00012,safetensors,1,0
gmail-agent,none,1,0
gpt-j-6b,pt,1,0
gpt-oss-120b,gguf,1,1141
gpt-oss-120b,pt,2,200
gpt-oss-120b-uncensored,gguf,2,24372
gpt-oss-120b-uncensored-mxfp4,pt,3,2078
gpt-oss-20b,gguf,2,2209
gpt-oss-20b,pt,3,684
gpt-oss-20b-k-m,gguf,1,52
gpt-oss-20b-uncensored,gguf,5,49262
gpt-oss-20b-uncensored-k-m,gguf,1,121
gpt-oss-20b-uncensored-mxfp4,gguf,1,6320
gpt-oss-20b-uncensored-mxfp4,pt,5,2462
gpt-oss-20b-unsloth-bnb,bin,1,51
gpt-oss-26b-abliterated-preview,gguf,4,10431
gpt4all-lora-unfiltered-quantized,bin,1,0
gpt4all-lora-unfiltered-quantized,pt,1,0
gpt4xalpacarplorav2,bin,2,59
gptossuncensor20blora,gguf,1,45
gram-qwen3-4b-rewardmodel,safetensors,1,52
granite-3-1-2b-instruct,safetensors,1,10
granite-3-1-2b-instruct-abliterated,gguf,9,446
granite-3-1-8b-instruct,safetensors,1,11
granite-3-1-8b-instruct-abliterated,gguf,10,632
granite-3-1-8b-instruct-abliterated,safetensors,1,3
granite-3-2-2b-instruct,safetensors,1,5
granite-3-2-2b-instruct-abliterated,gguf,9,203
granite-3-2-8b-instruct,safetensors,1,19
granite-3-2-8b-instruct-abliterated,gguf,9,424
granite-3-2-8b-instruct-abliterated,safetensors,1,7
granite-3-3-2b-instruct,pt,1,3
granite-3-3-8b-instruct,pt,1,1
granite-3-3-8b-instruct-abliterated,gguf,3,749
granite-embedding-278m-multilingual-rejection,pt,1,0
granite-vision-3-2-2b,safetensors,1,28
granite-vision-3-2-2b-abliterated,gguf,1,766
grogros-dmwm-llama-3-1b-harm-harmdata-al4-owt-d4-a0-25-learnability-adv,gguf,1,12
guanaco-13b-uncensored,gguf,3,1503
guanaco-13b-uncensored,pt,1,13
guanaco-13b-uncensored,safetensors,2,18
guanaco-13b-uncensored-1,gguf,1,6
guanaco-13b-uncensored-k-l,gguf,1,64
guanaco-3b-uncensored,gguf,2,149
guanaco-3b-uncensored-v2,bin,1,7
guanaco-3b-uncensored-v2,gguf,3,1037
guanaco-3b-uncensored-v2,pt,1,1099
guanaco-3b-uncensored-v2-xs,gguf,1,60
guanaco-3b-uncensored-xs,gguf,1,31
guanaco-7b-uncensored,gguf,2,916
guanaco-7b-uncensored,pt,1,7
guanaco-7b-uncensored,safetensors,1,17
guanaco-frank-jordan-13b-uncensored,gguf,3,235
guanaco-frank-jordan-13b-uncensored-nl,gguf,1,57
h2o-danube2-1-8b-base,safetensors,1,8
halu-8b-llama3-blackroot,safetensors,1,7
hammer2-0-7b,safetensors,1,5
harmful-1b-uncensored,gguf,1,7
harmfulproject-3-2-1b,gguf,2,208
hearmemanv1max,none,1,0
hermes-3-llama-3-1-405b,bin,1,3
hermes-3-llama-3-1-405b,pt,1,0
hermes-3-llama-3-1-405b-uncensored,gguf,3,310
hermes-3-llama-3-1-405b-uncensored,pt,1,0
hermes-3-llama-3-1-70b,bin,1,1
hermes-3-llama-3-1-70b,pt,1,0
hermes-3-llama-3-1-70b-uncensored,gguf,2,1460
hermes-3-llama-3-1-70b-uncensored,safetensors,1,10
hermes-3-llama-3-1-8b,gguf,1,2
hermes-3-llama-3-2-3b,pt,4,15523
hermes-3-llama-3-2-3b-abliterated,gguf,11,1125
hermes-3-llama-3-2-3b-abliterated,safetensors,2,20
hermes-climatestorm-sauerkraut-abliterated,gguf,2,288
hermes-climatestorm-sauerkraut-abliterated,safetensors,1,7
hermes-llama3-roleplay-1000,gguf,1,77
hermes-llama3-roleplay-1000-v2,gguf,1,48
hermes-llama3-roleplay-1000-v3,gguf,1,56
hermes-llama3-roleplay-1000-v4,gguf,2,118
hermes-llama3-roleplay-1000-v5,none,1,0
hermes-llama3-roleplay-1000-v6,gguf,2,101
hermes-llama3-roleplay-1000-v7,gguf,2,127
hermes-llama3-roleplay-1000-v7,safetensors,1,2
hermes-llama3-roleplay-1000-v8,gguf,2,149
hermes-llama3-roleplay-1000-v8,safetensors,1,1
hermes-llama3-roleplay-2000-v1-xs,gguf,1,14
hermes-llama3-roleplay-2000-v15,gguf,2,72
hermes-llama3-roleplay-2000-v2,safetensors,1,2
hermes-llama3-roleplay-2000-v2-xs,gguf,1,21
hermes-llama3-roleplay-2000-v3,gguf,2,109
hermes-llama3-roleplay-2000-v4,gguf,2,134
hermes-llama3-roleplay-20000-v1,safetensors,1,5
hermes-llama3-roleplay-20000-v1-xs,gguf,1,10
hermes-llama3-roleplay-3500-v1,gguf,2,160
hermes-llama3-roleplay-4000-v1,bin,1,3
hermes-llama3-roleplay-4000-v1,gguf,2,159
hermes-llama3-roleplay-4000-v2,gguf,2,347
hermes-llama3-roleplay-4000-v2,safetensors,1,1
hermes-llama3-roleplay-4000-v3-xs,gguf,1,42
hermes-llama3-roleplay-4000-v4,gguf,2,81
hermes-llama3-roleplay-4000-v5,gguf,2,131
hermes-llama3-roleplay-800-v1,gguf,1,26
hermes-llama3-roleplay-800-v1,none,1,0
hermes-storm-climate-lorablated,safetensors,3,23
hermes-storm-climate-sauerkraut-abliterated,gguf,3,527
hermes3-lumimaid-uncensored,gguf,2,351
hidden-states,pt,1,3
hidream-decensored-llama,none,1,0
hidream-i1-dev,safetensors,1,0
homunculus,safetensors,1,35
homunculus-abliterated,gguf,8,1091
hrofqa,none,1,0
huatuogpt-o1-72b,gguf,1,47
huatuogpt-o1-7b,gguf,1,9
huatuogpt-o1-8b,gguf,1,54
huatuogpt-vision-7b-qwen2-5vl,gguf,1,1556
huihui-ai-abliterated-qwen2-5-32b-inst-basemerge-ties,bin,2,891
huihui-ai-abliteratedv2-qwen2-5-14b-inst-basemerge-ties,bin,4,1057
huihui-ai-deepseek-r1-distill-llama-70b-abliterated-0-imat-k-s-e50-q4k-v6k,gguf,1,18
huihui-ai-llama-3-3-70b-instruct-abliterated-imat-k-s-e50-q4k-v6k,gguf,1,17
huihui-ai-qwen3-30b-a3b-abliterated-clone,gguf,2,434
huihui-exaone-4-0-1-2b-abliterated,gguf,8,1079
huihui-exaone-4-0-32b-abliterated,gguf,3,6672
huihui-exaone-deep-2-4b-abliterated,gguf,9,3189
huihui-exaone-deep-7-8b-abliterated,gguf,10,1905
huihui-gemma-3-270m-it-abliterated,gguf,2,1362
huihui-gemma-3n-e2b-it-abliterated,gguf,7,900
huihui-gemma-3n-e4b-it-abliterated,gguf,10,2744
huihui-gemma-3n-e4b-it-abliterated,safetensors,1,27
huihui-gpt-oss-120b-abliterated,gguf,1,255
huihui-gpt-oss-20b-abliterated,gguf,9,52292
huihui-internvl3-14b-abliterated,gguf,1,403
huihui-internvl3-1b-abliterated,gguf,2,507
huihui-internvl3-2b-abliterated,gguf,1,417
huihui-internvl3-78b-abliterated,gguf,2,16586
huihui-internvl3-8b-abliterated,gguf,2,250
huihui-jan-nano-128k-abliterated,gguf,8,1178
huihui-jan-nano-abliterated,gguf,8,682
huihui-jan-v1-4b-abliterated,gguf,3,886
huihui-mistral-small-3-2-24b-instruct-2506-abliterated,gguf,2,140
huihui-mistral-small-3-2-24b-instruct-2506-abliterated-llamacppfixed,gguf,2,1778
huihui-moe-1-3b-a0-6b-abliterated,gguf,7,212
huihui-moe-1-5b-a0-6b-abliterated,gguf,7,71
huihui-moe-12b-a4b-abliterated,gguf,3,761
huihui-moe-23b-a4b-abliterated,gguf,12,2495
huihui-moe-24b-a8b-abliterated,gguf,11,4612
huihui-moe-4-8b-a1-7b-abliterated,gguf,1,340
huihui-moe-46b-a14b-abliterated,gguf,2,4425
huihui-moe-5b-a1-7b-abliterated,gguf,2,1633
huihui-qwen3-0-6b-abliterated-v2,gguf,8,1021
huihui-qwen3-1-7b-abliterated-v2,gguf,9,2064
huihui-qwen3-14b-abliterated-v2,gguf,8,2333
huihui-qwen3-14b-abliterated-v2,safetensors,1,27
huihui-qwen3-30b-a3b-instruct-2507-abliterated,gguf,7,14560
huihui-qwen3-30b-a3b-instruct-2507-abliterated,safetensors,6,1000
huihui-qwen3-30b-a3b-thinking-2507-abliterated,gguf,8,5364
huihui-qwen3-30b-a3b-thinking-2507-abliterated,none,1,20
huihui-qwen3-30b-a3b-thinking-2507-abliterated,safetensors,6,1085
huihui-qwen3-4b-abliterated-v2,gguf,9,2003
huihui-qwen3-4b-instruct-2507-abliterated,gguf,7,14894
huihui-qwen3-4b-instruct-2507-abliterated,safetensors,7,350
huihui-qwen3-4b-thinking-2507-abliterated,gguf,6,3423
huihui-qwen3-4b-thinking-2507-abliterated,safetensors,8,484
huihui-qwen3-8b-abliterated-v2,gguf,8,2265
huihui-qwen3-coder-30b-a3b-instruct-abliterated,gguf,2,5148
huihui-qwen3-coder-30b-a3b-instruct-abliterated,safetensors,8,1004
huihui-smollm3-3b-abliterated,gguf,9,3648
humanish-roleplay-llama-3-1-8b,gguf,3,1930
humanish-roleplay-llama-3-1-8b-xs,gguf,1,10
ii-medical-8b,safetensors,1,56
illustrious-xl-early-release-v0,safetensors,1,158
innospark-r-72b-0701-abliterated,gguf,2,24539
instella-3b-instruct,pt,1,1
instella-3b-instruct,safetensors,1,17
internlm2-5-20b-chat,pt,1,17
internlm2-5-20b-chat-abliterated,gguf,4,431
internlm2-5-7b-chat,pt,2,14
internlm2-5-7b-chat-abliterated,gguf,4,189
internlm3-8b-instruct,safetensors,1,209
internlm3-8b-instruct-abliterated,gguf,8,753
internvl3-14b,safetensors,1,49
internvl3-1b,safetensors,1,73
internvl3-2b,safetensors,1,238
internvl3-78b,safetensors,1,22
internvl3-8b,safetensors,1,78
iph0n3-highnoise,safetensors,1,0
jailbreak-generator,gguf,1,257
jailbreak-gpt2,gguf,1,66
jailbreak-llama-3-8b,none,1,0
jailbreak-rev-test,none,1,0
jailbrokeai,gguf,2,323
jamet-8b-l3-mk-v-blackroot,safetensors,3,1217
jan-nano,safetensors,1,27
jan-nano-128k,safetensors,1,92
jan-v1-4b,bin,1,23
janus-pro-7b,pt,1,986
jett-w26-abliterated,gguf,2,364
josiefied-abliteratedv4-qwen2-5-14b-inst-basemerge-ties,bin,2,250
josiefied-deepseek-r1-0528-qwen3-8b-abliterated-v1,gguf,9,10803
josiefied-deepseek-r1-0528-qwen3-8b-abliterated-v1,safetensors,4,4314
josiefied-health-qwen3-8b-abliterated-v1,gguf,2,376
josiefied-health-qwen3-8b-abliterated-v1,safetensors,3,276
josiefied-llama-3-2-1b-instruct-abliterated-v1,gguf,1,58
josiefied-qwen2-0-5b-instruct-abliterated,bin,1,244
josiefied-qwen2-0-5b-instruct-abliterated,gguf,2,317
josiefied-qwen2-0-5b-instruct-abliterated-k-l,bin,1,43
josiefied-qwen2-0-5b-instruct-abliterated-xs,gguf,1,65
josiefied-qwen2-1-5b-instruct-abliterated,gguf,2,64
josiefied-qwen2-1-5b-instruct-abliterated-k-l,bin,1,56
josiefied-qwen2-5-0-5b-instruct-abliterated-v1,gguf,2,368
josiefied-qwen2-5-0-5b-instruct-abliterated-v1,safetensors,5,1162
josiefied-qwen2-5-0-5b-instruct-abliterated-v1-float32,gguf,1,95
josiefied-qwen2-5-0-5b-instruct-abliterated-v1-mnn-plus,none,1,583
josiefied-qwen2-5-1-5b-instruct-abliterated-v1,bin,1,535
josiefied-qwen2-5-1-5b-instruct-abliterated-v1,gguf,1,192
josiefied-qwen2-5-1-5b-instruct-abliterated-v1,safetensors,1,15
josiefied-qwen2-5-1-5b-instruct-abliterated-v1-f16,gguf,1,191
josiefied-qwen2-5-1-5b-instruct-abliterated-v1-mnn-plus,none,1,577
josiefied-qwen2-5-1-5b-instruct-abliterated-v2,bin,1,14
josiefied-qwen2-5-1-5b-instruct-abliterated-v2,gguf,1,110
josiefied-qwen2-5-1-5b-instruct-abliterated-v2,safetensors,1,20
josiefied-qwen2-5-1-5b-instruct-abliterated-v2-xs,gguf,1,24
josiefied-qwen2-5-1-5b-instruct-abliterated-v3,bin,1,23
josiefied-qwen2-5-1-5b-instruct-abliterated-v3,gguf,1,95
josiefied-qwen2-5-1-5b-instruct-abliterated-v3-xs,gguf,1,25
josiefied-qwen2-5-14b-instruct-abliterated-v1,gguf,2,198
josiefied-qwen2-5-14b-instruct-abliterated-v2,gguf,2,416
josiefied-qwen2-5-14b-instruct-abliterated-v4,bin,2,352
josiefied-qwen2-5-14b-instruct-abliterated-v4,gguf,4,594
josiefied-qwen2-5-14b-instruct-abliterated-v4,safetensors,14,262
josiefied-qwen2-5-14b-instruct-abliterated-v4-mlx,safetensors,1,20
josiefied-qwen2-5-3b-instruct-abliterated-v1,gguf,6,464
josiefied-qwen2-5-3b-instruct-abliterated-v1-mnn-plus,none,1,596
josiefied-qwen2-5-7b-instruct-abliterated,gguf,2,341
josiefied-qwen2-5-7b-instruct-abliterated-v2,bin,1,503
josiefied-qwen2-5-7b-instruct-abliterated-v2,gguf,6,723
josiefied-qwen2-5-7b-instruct-abliterated-v2,safetensors,4,244
josiefied-qwen2-5-7b-instruct-abliterated-v2-xs,gguf,1,32
josiefied-qwen2-5-coder-14b-instruct-abliterated-v1,gguf,3,274
josiefied-qwen2-5-coder-7b-instruct-abliterated-v1,bin,1,190
josiefied-qwen2-5-coder-7b-instruct-abliterated-v1,gguf,6,587
josiefied-qwen2-7b-instruct-abliterated,gguf,2,64
josiefied-qwen2-7b-instruct-abliterated-k-l,gguf,1,16
josiefied-qwen3-0-6b-abliterated-v1,bin,1,102
josiefied-qwen3-0-6b-abliterated-v1,gguf,3,241
josiefied-qwen3-0-6b-abliterated-v1,safetensors,7,2243
josiefied-qwen3-0-6b-abliterated-v1-mnn-plus,none,1,586
josiefied-qwen3-1-7b-abliterated-v1,gguf,2,477
josiefied-qwen3-1-7b-abliterated-v1,safetensors,9,2647
josiefied-qwen3-1-7b-abliterated-v1-mnn-plus,none,1,591
josiefied-qwen3-14b-abliterated-v1,gguf,1,0
josiefied-qwen3-14b-abliterated-v2,gguf,3,399
josiefied-qwen3-14b-abliterated-v3,gguf,10,2966
josiefied-qwen3-14b-abliterated-v3,safetensors,9,691
josiefied-qwen3-30b-a3b-abliterated-v2,gguf,18,5729
josiefied-qwen3-30b-a3b-abliterated-v2,safetensors,4,3970
josiefied-qwen3-4b-abliterated-v1,gguf,4,1491
josiefied-qwen3-4b-abliterated-v1,safetensors,9,1410
josiefied-qwen3-4b-abliterated-v2,gguf,8,1365
josiefied-qwen3-4b-abliterated-v2,safetensors,4,40
josiefied-qwen3-4b-abliterated-v2-mnn-plus,none,1,587
josiefied-qwen3-8b-abliterated-v1,gguf,15,5726
josiefied-qwen3-8b-abliterated-v1,safetensors,12,3888
josiefied-qwen3-8b-abliterated-v1-k,gguf,1,20
josiefied-qwen3-8b-abliterated-v1-xxs,gguf,1,131
jpalgo-llama3-1-roleplay-4bits,none,1,4
judas-the-uncensored-3-2-1b,gguf,5,4071
k-m-pytorch-model-00001-of-00002,bin,1,1453
kanana-nano-2-1b-instruct,safetensors,1,5
kanana-nano-2-1b-instruct-abliterated,gguf,3,2408
kanana-nano-2-1b-instruct-abliterated,safetensors,1,16
kappa-3-phi-abliterated,gguf,4,257
kat-v1-40b-abliterated,gguf,2,1131
keras-unsafe-models,none,1,5
key-bot,none,1,0
khao4-6-freedomemodel-70b-multilingual,none,1,0
kimi-dev-72b-abliterated,gguf,2,110
ko-llama-3-1-8b-lexi-uncensored-v2,gguf,2,277
ko-llama-3-1-8b-lexi-uncensored-v2-xs,gguf,1,168
l2-7b-base-guanaco-uncensored,gguf,2,585
l2-7b-base-wvg-uncensored,gguf,1,104
l3-1-2x8b-blacktower-rp-v1-uncensored,gguf,2,586
l3-1-4x8b-blacktower-rp-v1-1-uncensored,gguf,2,312
l3-1-8b-skairim-sundown-v1-uncensored,gguf,2,658
l3-1-8b-supernovarp-dark-uncensored,gguf,2,707
l3-1-dark-planet-spinfire-uncensored-8b,gguf,6,1982
l3-1-dark-planet-spinfire-uncensored-8b,safetensors,2,21
l3-1-dark-reasoning-anjir-hermes-r1-uncensored-8b,gguf,8,301
l3-1-dark-reasoning-celeste-v1-2-hermes-r1-uncensored-8b,gguf,8,408
l3-1-dark-reasoning-dark-planet-hermes-r1-uncensored-8b,gguf,10,845
l3-1-dark-reasoning-halu-blackroot-hermes-r1-uncensored-8b,gguf,8,354
l3-1-dark-reasoning-jamet-8b-mk-i-hermes-r1-uncensored-8b,gguf,8,1084
l3-1-dark-reasoning-lewdplay-evo-hermes-r1-uncensored-8b,gguf,12,1749
l3-1-dark-reasoning-super-nova-rp-hermes-r1-uncensored-8b,gguf,8,950
l3-1-dark-reasoning-unholy-hermes-r1-uncensored-8b,gguf,9,1223
l3-1-darkidol-abliteration,gguf,2,504
l3-1-evil-reasoning-dark-planet-hermes-r1-uncensored-8b,gguf,9,763
l3-1-moe-2x8b-deepseek-deephermes-e32-uncensored-abliterated-13-7b,gguf,3,1907
l3-1-moe-4x8-uncen-n-rson-mx-csd2-3-k-s,gguf,1,3
l3-1-moe-4x8b-dark-reasoning-dark-planet-hermes-r1-uncensored-e32-25b,gguf,3,416
l3-1-moe-4x8b-dark-reasoning-super-nova-rp-hermes-r1-uncensored-25b,gguf,12,1401
l3-1-moe-6x8b-dark-reasoning-dantes-peak-hermes-r1-uncensored-36b,gguf,4,907
l3-1-moe-6x8b-dark-reasoning-dantes-peak-hermes-r1-uncensored-36b,safetensors,2,464
